Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,338,421","152,082,993","157,255,428","311,644,280","153,242,210","158,402,070","313,993,272","154,452,348","159,540,924","316,234,505","155,596,820","160,637,685","160,637,685","318,622,525","156,807,419","161,815,106","321,039,839","158,048,153","162,991,686","323,405,935","159,243,817","164,162,118","325,719,178","160,408,119","165,311,059"
14,"4,165,982","2,135,543","2,030,439","4,166,059","2,135,596","2,030,463","4,145,490","2,122,850","2,022,640","4,131,295","2,110,588","2,020,707","4,135,424","2,114,279","2,021,145","4,148,560","2,120,610","2,027,950","2,027,950","4,232,526","2,164,056","2,068,470","4,183,831","2,135,424","2,048,407","4,096,727","2,089,414","2,007,313","4,127,305","2,104,753","2,022,552"
15,"4,242,820","2,177,022","2,065,798","4,242,946","2,177,104","2,065,842","4,230,902","2,170,373","2,060,529","4,158,739","2,129,299","2,029,440","4,143,882","2,116,810","2,027,072","4,149,009","2,121,124","2,027,885","2,027,885","4,164,225","2,128,678","2,035,547","4,249,635","2,172,971","2,076,664","4,201,611","2,144,753","2,056,858","4,114,560","2,098,809","2,015,751"
16,"4,316,139","2,216,034","2,100,105","4,316,311","2,216,153","2,100,158","4,313,090","2,214,913","2,098,177","4,247,235","2,178,771","2,068,464","4,174,315","2,137,317","2,036,998","4,160,427","2,125,393","2,035,034","2,035,034","4,167,605","2,130,757","2,036,848","4,184,373","2,139,289","2,045,084","4,270,670","2,184,078","2,086,592","4,222,691","2,155,909","2,066,782"
17,"4,395,295","2,263,153","2,132,142","4,395,475","2,263,294","2,132,181","4,376,158","2,252,719","2,123,439","4,334,584","2,226,338","2,108,246","4,267,964","2,189,652","2,078,312","4,195,438","2,148,491","2,046,947","2,046,947","4,183,519","2,137,554","2,045,965","4,192,344","2,143,845","2,048,499","4,210,248","2,153,031","2,057,217","4,296,575","2,197,871","2,098,704"
18,"4,500,855","2,305,473","2,195,382","4,501,114","2,305,664","2,195,450","4,490,385","2,305,415","2,184,970","4,401,461","2,265,926","2,135,535","4,359,020","2,238,970","2,120,050","4,293,061","2,202,866","2,090,195","2,090,195","4,222,786","2,162,805","2,059,981","4,213,143","2,153,257","2,059,886","4,223,290","2,160,245","2,063,045","4,241,226","2,169,468","2,071,758"
19,"4,585,234","2,341,984","2,243,250","4,585,701","2,342,296","2,243,405","4,570,789","2,334,607","2,236,182","4,518,349","2,320,185","2,198,164","4,427,917","2,279,919","2,147,998","4,385,466","2,252,999","2,132,467","2,132,467","4,322,239","2,218,512","2,103,727","4,254,939","2,180,602","2,074,337","4,245,565","2,170,760","2,074,805","4,256,608","2,178,434","2,078,174"
20,"4,519,129","2,308,319","2,210,810","4,519,556","2,308,579","2,210,977","4,568,055","2,331,630","2,236,425","4,598,385","2,348,718","2,249,667","4,546,920","2,335,985","2,210,935","4,453,700","2,293,538","2,160,162","2,160,162","4,412,489","2,267,069","2,145,420","4,353,486","2,235,851","2,117,635","4,286,564","2,197,828","2,088,736","4,276,745","2,187,409","2,089,336"
21,"4,354,294","2,223,198","2,131,096","4,354,603","2,223,396","2,131,207","4,387,520","2,240,899","2,146,621","4,594,545","2,344,505","2,250,040","4,630,398","2,366,933","2,263,465","4,574,494","2,350,288","2,224,206","2,224,206","4,482,033","2,307,824","2,174,209","4,445,074","2,284,507","2,160,567","4,386,414","2,253,183","2,133,231","4,318,304","2,213,975","2,104,329"
22,"4,264,642","2,177,797","2,086,845","4,264,946","2,178,023","2,086,923","4,286,502","2,188,003","2,098,499","4,413,679","2,252,476","2,161,203","4,626,348","2,361,577","2,264,771","4,661,047","2,382,741","2,278,306","2,278,306","4,605,757","2,365,777","2,239,980","4,517,314","2,326,117","2,191,197","4,480,595","2,302,536","2,178,059","4,420,763","2,270,148","2,150,615"
23,"4,198,571","2,140,799","2,057,772","4,198,859","2,141,015","2,057,844","4,216,698","2,150,842","2,065,856","4,312,907","2,198,747","2,114,160","4,444,658","2,268,097","2,176,561","4,656,683","2,376,290","2,280,393","2,280,393","4,694,117","2,398,890","2,295,227","4,641,661","2,383,707","2,257,954","4,553,777","2,344,031","2,209,746","4,515,308","2,318,784","2,196,524"
