Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,338,421","152,082,993","157,255,428","311,644,280","153,242,210","158,402,070","313,993,272","154,452,348","159,540,924","316,234,505","155,596,820","160,637,685","160,637,685","318,622,525","156,807,419","161,815,106","321,039,839","158,048,153","162,991,686","323,405,935","159,243,817","164,162,118","325,719,178","160,408,119","165,311,059"
56,"4,037,513","1,956,141","2,081,372","4,037,601","1,956,202","2,081,399","4,093,115","1,984,421","2,108,694","4,234,860","2,059,235","2,175,625","4,241,425","2,060,679","2,180,746","4,369,037","2,124,814","2,244,223","2,244,223","4,390,423","2,137,886","2,252,537","4,391,484","2,139,150","2,252,334","4,520,972","2,208,073","2,312,899","4,461,346","2,171,286","2,290,060"
57,"3,936,386","1,905,355","2,031,031","3,936,450","1,905,398","2,031,052","3,946,482","1,909,973","2,036,509","4,067,978","1,967,950","2,100,028","4,209,314","2,042,373","2,166,941","4,214,850","2,043,505","2,171,345","2,171,345","4,341,770","2,107,015","2,234,755","4,363,359","2,120,248","2,243,111","4,364,273","2,121,461","2,242,812","4,493,573","2,190,232","2,303,341"
58,"3,794,928","1,834,808","1,960,120","3,795,015","1,834,863","1,960,152","3,802,411","1,838,668","1,963,743","3,920,277","1,892,739","2,027,538","4,041,657","1,950,748","2,090,909","4,181,182","2,024,061","2,157,121","2,157,121","4,186,598","2,025,009","2,161,589","4,312,945","2,088,311","2,224,634","4,334,230","2,101,350","2,232,880","4,335,891","2,102,988","2,232,903"
59,"3,641,269","1,753,871","1,887,398","3,641,349","1,753,929","1,887,420","3,694,225","1,779,467","1,914,758","3,775,188","1,820,892","1,954,296","3,893,007","1,874,897","2,018,110","4,012,567","1,931,785","2,080,782","2,080,782","4,151,512","2,004,597","2,146,915","4,156,767","2,005,539","2,151,228","4,281,943","2,068,184","2,213,759","4,303,880","2,081,562","2,222,318"
60,"3,621,131","1,745,507","1,875,624","3,621,214","1,745,559","1,875,655","3,616,676","1,742,203","1,874,473","3,666,218","1,761,194","1,905,024","3,746,688","1,802,443","1,944,245","3,862,888","1,855,498","2,007,390","2,007,390","3,981,755","1,911,768","2,069,987","4,119,957","1,984,070","2,135,887","4,124,852","1,984,757","2,140,095","4,249,921","2,047,375","2,202,546"
61,"3,492,596","1,679,077","1,813,519","3,492,656","1,679,114","1,813,542","3,520,129","1,691,406","1,828,723","3,587,599","1,723,589","1,864,010","3,636,530","1,742,133","1,894,397","3,715,444","1,782,510","1,932,934","1,932,934","3,830,701","1,834,639","1,996,062","3,948,750","1,890,387","2,058,363","4,085,979","1,962,045","2,123,934","4,091,662","1,963,253","2,128,409"
62,"3,563,182","1,712,692","1,850,490","3,563,260","1,712,746","1,850,514","3,495,097","1,679,068","1,816,029","3,488,936","1,671,989","1,816,947","3,556,423","1,703,858","1,852,565","3,603,852","1,721,357","1,882,495","1,882,495","3,682,166","1,760,990","1,921,176","3,796,367","1,812,578","1,983,789","3,913,573","1,867,782","2,045,791","4,050,159","1,938,979","2,111,180"
63,"3,483,884","1,672,329","1,811,555","3,483,943","1,672,362","1,811,581","3,652,182","1,753,896","1,898,286","3,460,878","1,657,964","1,802,914","3,455,685","1,651,499","1,804,186","3,521,985","1,682,050","1,839,935","1,839,935","3,569,056","1,699,108","1,869,948","3,646,303","1,738,096","1,908,207","3,758,910","1,788,549","1,970,361","3,875,907","1,843,702","2,032,205"
64,"2,657,131","1,267,895","1,389,236","2,657,194","1,267,924","1,389,270","2,706,101","1,291,866","1,414,235","3,613,910","1,730,675","1,883,235","3,424,934","1,636,067","1,788,867","3,418,893","1,628,717","1,790,176","1,790,176","3,485,992","1,659,437","1,826,555","3,531,786","1,675,627","1,856,159","3,607,574","1,713,526","1,894,048","3,720,053","1,763,974","1,956,079"
65,"2,680,761","1,273,310","1,407,451","2,680,815","1,273,339","1,407,476","2,678,528","1,272,688","1,405,840","2,675,466","1,273,169","1,402,297","3,573,951","1,706,463","1,867,488","3,385,678","1,612,171","1,773,507","1,773,507","3,380,825","1,605,418","1,775,407","3,447,219","1,635,562","1,811,657","3,492,271","1,651,119","1,841,152","3,567,978","1,688,983","1,878,995"
66,"2,639,141","1,248,276","1,390,865","2,639,209","1,248,309","1,390,900","2,621,359","1,239,794","1,381,565","2,645,920","1,253,071","1,392,849","2,643,322","1,253,787","1,389,535","3,530,144","1,680,039","1,850,105","1,850,105","3,344,794","1,587,614","1,757,180","3,340,042","1,580,539","1,759,503","3,405,526","1,610,004","1,795,522","3,451,069","1,626,011","1,825,058"
67,"2,649,365","1,248,906","1,400,459","2,649,426","1,248,938","1,400,488","2,693,743","1,270,155","1,423,588","2,585,932","1,218,776","1,367,156","2,611,346","1,232,291","1,379,055","2,608,170","1,232,704","1,375,466","1,375,466","3,484,014","1,652,499","1,831,515","3,300,801","1,561,078","1,739,723","3,296,304","1,554,128","1,742,176","3,361,747","1,583,631","1,778,116"
68,"2,323,672","1,087,296","1,236,376","2,323,736","1,087,339","1,236,397","2,359,862","1,105,717","1,254,145","2,653,842","1,246,581","1,407,261","2,548,173","1,196,453","1,351,720","2,573,554","1,209,893","1,363,661","1,363,661","2,571,100","1,210,525","1,360,575","3,434,771","1,623,133","1,811,638","3,254,306","1,533,377","1,720,929","3,251,249","1,527,330","1,723,919"
69,"2,142,324","994,759","1,147,565","2,142,381","994,797","1,147,584","2,167,896","1,006,799","1,161,097","2,321,680","1,083,450","1,238,230","2,611,661","1,221,941","1,389,720","2,507,086","1,172,613","1,334,473","1,334,473","2,533,751","1,186,374","1,347,377","2,531,174","1,186,846","1,344,328","3,381,146","1,591,572","1,789,574","3,204,338","1,503,913","1,700,425"
70,"2,043,121","945,611","1,097,510","2,043,178","945,642","1,097,536","2,062,660","954,098","1,108,562","2,129,537","984,781","1,144,756","2,281,747","1,060,531","1,221,216","2,565,768","1,195,493","1,370,275","1,370,275","2,464,843","1,147,960","1,316,883","2,490,999","1,161,520","1,329,479","2,488,370","1,161,878","1,326,492","3,324,662","1,558,707","1,765,955"
71,"1,949,323","900,148","1,049,175","1,949,391","900,187","1,049,204","1,953,665","903,274","1,050,391","2,022,881","931,472","1,091,409","2,089,893","962,176","1,127,717","2,238,309","1,035,642","1,202,667","1,202,667","2,519,507","1,168,810","1,350,697","2,419,540","1,121,903","1,297,637","2,446,446","1,135,797","1,310,649","2,443,843","1,136,177","1,307,666"
72,"1,864,275","853,726","1,010,549","1,864,324","853,749","1,010,575","1,883,894","862,564","1,021,330","1,912,282","879,897","1,032,385","1,981,539","908,109","1,073,430","2,046,427","937,547","1,108,880","1,108,880","2,194,211","1,010,349","1,183,862","2,468,839","1,139,872","1,328,967","2,372,281","1,094,802","1,277,479","2,399,286","1,108,765","1,290,521"
73,"1,736,960","787,863","949,097","1,737,022","787,903","949,119","1,750,372","794,669","955,703","1,840,052","838,098","1,001,954","1,869,214","855,718","1,013,496","1,936,203","882,714","1,053,489","1,053,489","2,002,134","912,547","1,089,587","2,145,541","982,902","1,162,639","2,415,320","1,109,590","1,305,730","2,321,473","1,066,091","1,255,382"
74,"1,684,487","756,624","927,863","1,684,563","756,661","927,902","1,686,065","758,853","927,212","1,705,554","769,939","935,615","1,794,560","812,889","981,671","1,821,988","829,500","992,488","992,488","1,889,901","856,949","1,032,952","1,953,194","885,423","1,067,771","2,094,035","954,182","1,139,853","2,357,801","1,077,532","1,280,269"
75,"1,620,077","721,008","899,069","1,620,158","721,040","899,118","1,631,948","725,686","906,262","1,638,654","732,956","905,698","1,659,192","744,557","914,635","1,744,755","785,587","959,168","959,168","1,773,949","802,888","971,061","1,839,060","829,010","1,010,050","1,901,800","857,110","1,044,690","2,039,236","923,942","1,115,294"
76,"1,471,070","647,804","823,266","1,471,157","647,847","823,310","1,481,772","653,577","828,195","1,581,379","698,458","882,921","1,589,512","706,413","883,099","1,608,437","717,122","891,315","891,315","1,694,182","758,003","936,179","1,721,269","774,181","947,088","1,785,775","800,006","985,769","1,847,158","827,432","1,019,726"
77,"1,455,330","631,884","823,446","1,455,414","631,915","823,499","1,449,228","630,882","818,346","1,430,871","626,536","804,335","1,529,055","670,646","858,409","1,535,801","677,816","857,985","857,985","1,556,807","689,414","867,393","1,638,604","728,222","910,382","1,666,031","744,397","921,634","1,729,114","769,612","959,502"
78,"1,400,123","602,458","797,665","1,400,205","602,490","797,715","1,402,261","602,805","799,456","1,394,574","602,266","792,308","1,378,369","598,947","779,422","1,471,959","640,683","831,276","831,276","1,481,179","648,875","832,304","1,500,111","659,423","840,688","1,580,281","697,195","883,086","1,607,240","713,055","894,185"
79,"1,371,195","579,234","791,961","1,371,312","579,284","792,028","1,355,002","573,910","781,092","1,343,797","572,627","771,170","1,338,237","573,149","765,088","1,321,224","569,340","751,884","751,884","1,414,026","610,462","803,564","1,421,387","617,698","803,689","1,440,868","628,371","812,497","1,518,513","664,775","853,738"
80,"1,308,511","543,559","764,952","1,308,608","543,595","765,013","1,319,813","549,247","770,566","1,292,519","542,196","750,323","1,283,536","541,952","741,584","1,277,082","541,986","735,096","735,096","1,263,371","539,533","723,838","1,350,788","577,997","772,791","1,359,236","585,560","773,676","1,378,494","596,081","782,413"
81,"1,212,865","494,870","717,995","1,212,976","494,914","718,062","1,212,664","496,090","716,574","1,252,511","515,655","736,856","1,228,264","509,996","718,268","1,218,481","509,279","709,202","709,202","1,215,525","510,763","704,762","1,200,591","507,688","692,903","1,285,201","544,588","740,613","1,293,831","552,132","741,699"
82,"1,161,421","462,983","698,438","1,161,546","463,020","698,526","1,158,424","462,831","695,593","1,143,974","462,451","681,523","1,183,647","481,799","701,848","1,159,174","475,932","683,242","683,242","1,153,165","476,692","676,473","1,148,785","477,523","671,262","1,135,811","475,160","660,651","1,216,640","510,165","706,475"
83,"1,074,809","419,831","654,978","1,074,941","419,882","655,059","1,081,505","423,024","658,481","1,085,413","428,006","657,407","1,073,832","428,711","645,121","1,109,606","446,093","663,513","663,513","1,089,796","442,019","647,777","1,082,286","442,029","640,257","1,079,926","443,624","636,302","1,068,110","441,701","626,409"
84,"985,721","373,131","612,590","985,854","373,169","612,685","987,098","375,705","611,393","1,005,470","387,654","617,816","1,011,161","393,280","617,881","998,639","393,336","605,303","605,303","1,035,631","410,825","624,806","1,014,952","406,272","608,680","1,009,519","406,959","602,560","1,008,215","408,980","599,235"
85+,"5,493,433","1,789,679","3,703,754","5,495,003","1,790,030","3,704,973","5,543,134","1,810,064","3,733,070","5,701,892","1,884,335","3,817,557","5,878,177","1,966,755","3,911,422","6,014,210","2,035,140","3,979,070","3,979,070","6,154,403","2,104,402","4,050,001","6,278,584","2,170,485","4,108,099","6,381,877","2,227,848","4,154,029","6,468,682","2,279,669","4,189,013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median age (years),37.2,35.8,38.5,37.2,35.8,38.5,37.2,35.9,38.5,37.3,36,38.6,37.5,36.1,38.8,37.6,36.2,3,38.9,37.7,36.4,39,37.8,36.5,39.1,37.9,36.6,39.2,38,36.8,
