Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72010,"July 1, 2010",female,Female,tothisp,Total,0400000US42,42,Pennsylvania,6515140,5451496,748575,19764,186957,3630,104718
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0400000US42,42,Pennsylvania,371211,287920,49287,11838,3536,2125,16505
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,5824712,4924409,637255,8483,170692,1428,82445
est72010,"July 1, 2010",male,Male,tothisp,Total,0400000US42,42,Pennsylvania,6195923,5212329,686542,20321,174228,3553,98950
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0400000US42,42,Pennsylvania,726277,559207,99716,22858,6880,4265,33351
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,11984786,10104618,1335401,17227,354305,2918,170317
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0400000US42,42,Pennsylvania,12711063,10663825,1435117,40085,361185,7183,203668
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0400000US42,42,Pennsylvania,370064,281897,53115,11425,3599,2241,17787
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,6156384,5161562,702754,8876,190650,1593,90949
est72011,"July 1, 2011",female,Female,tothisp,Total,0400000US42,42,Pennsylvania,6526448,5443459,755869,20301,194249,3834,108736
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0400000US42,42,Pennsylvania,386722,298770,52230,12378,3743,2226,17375
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,5829641,4914807,642370,8618,176750,1488,85608
est72011,"July 1, 2011",male,Male,tothisp,Total,0400000US42,42,Pennsylvania,6216363,5213577,694600,20996,180493,3714,102983
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0400000US42,42,Pennsylvania,756786,580667,105345,23803,7342,4467,35162
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,11986025,10076369,1345124,17494,367400,3081,176557
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0400000US42,42,Pennsylvania,12742811,10657036,1450469,41297,374742,7548,211719
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0400000US42,42,Pennsylvania,385040,292498,55870,11886,3829,2338,18619
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,6147649,5139019,706231,8917,197960,1654,93868
est72012,"July 1, 2012",female,Female,tothisp,Total,0400000US42,42,Pennsylvania,6532689,5431517,762101,20803,201789,3992,112487
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0400000US42,42,Pennsylvania,402546,309975,55186,12916,3939,2304,18226
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,5832799,4902055,648318,8733,183516,1556,88621
