State,Age,2010,2011,2012,2013,2014,,,Childhood (0Ð19),,,,,Young adult (20Ð39),,,,,Middle-aged adult (40Ð64,,,,,Senior years (65Ð84),,,,,Old (>85),,,,
Arizona,15 to 19 years,"459,774","452,999","450,961","450,514","453,305",,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,20 to 24 years,"446,649","463,108","478,099","484,680","489,858",,Texas,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,25 to 29 years,"439,843","439,984","439,818","442,372","452,332",,Utah,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,30 to 34 years,"418,568","426,327","433,897","441,664","446,956",,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,35 to 39 years,"414,181","405,969","406,179","408,726","413,649",,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,40 to 44 years,"408,521","416,035","420,735","420,726","419,645",,Washington,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,45 to 49 years,"426,103","418,677","412,016","407,155","405,580",,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,50 to 54 years,"417,178","423,120","426,504","428,579","430,690",,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,55 to 59 years,"377,429","385,338","395,879","404,368","412,033",,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,60 to 64 years,"354,183","369,318","366,123","369,885","376,880",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,65 to 69 years,"284,883","293,633","318,555","332,078","347,939",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,70 to 74 years,"217,091","226,689","238,872","255,306","268,711",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,75 to 79 years,"162,983","167,197","172,566","180,093","189,827",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,80 to 84 years,"119,446","122,602","125,138","127,272","129,333",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,85 years and over,"104,701","109,208","113,777","117,960","122,994",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,collapse this categoryTotal,"2,921,737","2,938,640","2,949,208","2,956,780","2,964,800",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Under 5 years,"197,365","196,086","194,180","191,474","190,937",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,5 to 9 years,"196,903","197,340","199,244","200,062","198,801",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,10 to 14 years,"198,022","199,305","198,776","198,172","197,771",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,15 to 19 years,"203,199","199,717","197,360","196,803","196,757",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,20 to 24 years,"201,490","207,694","210,962","212,450","212,104",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,25 to 29 years,"192,197","191,420","190,900","190,668","192,203",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,30 to 34 years,"184,792","188,639","191,087","192,604","192,849",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,35 to 39 years,"183,046","179,511","177,850","178,367","179,894",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,40 to 44 years,"182,925","185,135","186,274","185,992","184,131",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,45 to 49 years,"204,816","199,704","193,779","187,648","182,368",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,50 to 54 years,"202,146","203,671","203,176","203,376","202,949",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,55 to 59 years,"184,970","188,099","191,346","193,142","194,198",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,60 to 64 years,"168,310","174,777","172,081","172,669","174,605",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,65 to 69 years,"133,682","134,965","144,059","148,190","153,020",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,70 to 74 years,"101,803","104,315","107,981","112,690","116,439",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,75 to 79 years,"77,962","78,962","79,657","81,055","82,937",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,80 to 84 years,"56,374","56,604","56,743","57,087","57,489",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,85 years and over,"51,735","52,696","53,753","54,331","55,348",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,collapse this categoryTotal,"37,327,690","37,672,654","38,019,006","38,347,383","38,701,278",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,Under 5 years,"2,530,455","2,534,569","2,517,190","2,502,704","2,506,873",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5 to 9 years,"2,504,991","2,513,839","2,540,130","2,557,993","2,552,838",,,,,,,,,,,,,,,,,,,,,,,,,,,
