Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
70 to 74 years,"9,278,166","4,243,972","5,034,194","9,278,478","4,244,142","5,034,336","9,336,656","4,273,458","5,063,198","9,610,306","4,404,187","5,206,119","10,016,953","4,599,423","5,417,530","10,608,695","4,880,896","5,727,799","4,232,526","2,164,056","2,068,470","4,183,831","2,135,424","2,048,407","4,096,727","2,089,414","2,007,313","4,127,305","2,104,753","2,022,552"
75 to 79 years,"7,317,795","3,182,388","4,135,407","7,318,246","3,182,576","4,135,670","7,320,211","3,186,860","4,133,351","7,389,275","3,232,843","4,156,432","7,494,365","3,293,712","4,200,653","7,682,176","3,390,548","4,291,628","4,164,225","2,128,678","2,035,547","4,249,635","2,172,971","2,076,664","4,201,611","2,144,753","2,056,858","4,114,560","2,098,809","2,015,751"
80 to 84 years,"5,743,327","2,294,374","3,448,953","5,743,925","2,294,580","3,449,345","5,759,504","2,306,897","3,452,607","5,779,887","2,335,962","3,443,925","5,780,440","2,355,738","3,424,702","5,762,982","2,366,626","3,396,356","4,167,605","2,130,757","2,036,848","4,184,373","2,139,289","2,045,084","4,270,670","2,184,078","2,086,592","4,222,691","2,155,909","2,066,782"
85 years and over,"5,493,433","1,789,679","3,703,754","5,495,003","1,790,030","3,704,973","5,543,134","1,810,064","3,733,070","5,701,892","1,884,335","3,817,557","5,878,177","1,966,755","3,911,422","6,014,210","2,035,140","3,979,070","4,183,519","2,137,554","2,045,965","4,192,344","2,143,845","2,048,499","4,210,248","2,153,031","2,057,217","4,296,575","2,197,871","2,098,704"
,,,,,,,,,,,,,,,,,,,"4,222,786","2,162,805","2,059,981","4,213,143","2,153,257","2,059,886","4,223,290","2,160,245","2,063,045","4,241,226","2,169,468","2,071,758"
Under 18 years,"74,181,467","37,945,136","36,236,331","74,182,279","37,945,653","36,236,626","74,120,796","37,909,162","36,211,634","73,910,207","37,783,042","36,127,165","73,700,360","37,660,759","36,039,601","73,574,334","37,584,310","35,990,024","4,322,239","2,218,512","2,103,727","4,254,939","2,180,602","2,074,337","4,245,565","2,170,760","2,074,805","4,256,608","2,178,434","2,078,174"
Under 5 years,"20,201,362","10,319,427","9,881,935","20,201,426","10,319,452","9,881,974","20,188,773","10,312,641","9,876,132","20,122,646","10,279,680","9,842,966","19,975,163","10,204,076","9,771,087","19,847,941","10,141,030","9,706,911","4,412,489","2,267,069","2,145,420","4,353,486","2,235,851","2,117,635","4,286,564","2,197,828","2,088,736","4,276,745","2,187,409","2,089,336"
5 to 13 years,"36,859,869","18,833,957","18,025,912","36,860,062","18,834,054","18,026,008","36,866,383","18,835,666","18,030,717","36,915,708","18,858,366","18,057,342","37,003,612","18,898,625","18,104,987","37,072,959","18,927,662","18,145,297","4,482,033","2,307,824","2,174,209","4,445,074","2,284,507","2,160,567","4,386,414","2,253,183","2,133,231","4,318,304","2,213,975","2,104,329"
14 to 17 years,"17,120,236","8,791,752","8,328,484","17,120,791","8,792,147","8,328,644","17,065,640","8,760,855","8,304,785","16,871,853","8,644,996","8,226,857","16,721,585","8,558,058","8,163,527","16,653,434","8,515,618","8,137,816","4,605,757","2,365,777","2,239,980","4,517,314","2,326,117","2,191,197","4,480,595","2,302,536","2,178,059","4,420,763","2,270,148","2,150,615"
18 to 64 years,"194,296,087","96,473,230","97,822,857","194,304,607","96,479,074","97,825,533","194,736,732","96,701,399","98,035,333","196,369,873","97,526,794","98,843,079","197,134,524","97,965,026","99,169,498","197,987,476","98,431,880","99,555,596","4,694,117","2,398,890","2,295,227","4,641,661","2,383,707","2,257,954","4,553,777","2,344,031","2,209,746","4,515,308","2,318,784","2,196,524"
